   , Year  , Datetime           , Stage                   , Stadium                                           , City                             , Home Team Name               , Home Team Goals, Away Team Goals, Away Team Name               , Attendance, Half-time Home Goals, Half-time Away Goals, Referee                             , Assistant 1                         , Assistant 2                         , RoundID, MatchID, Home Team Initials, Away Team Initials
431, 1990.0, 1990-06-16 21:00:00, Group C                 , Luigi Ferraris                                    , Genoa                            , Sweden                       ,               1,               2, Scotland                     ,      31823,                  0.0,                  1.0, MACIEL Carlos (PAR)                 , MAURO Vincent (USA)                 , LISTKIEWICZ Michal (POL)            ,     432,   10432, SWE               , SCO
432, 1990.0, 1990-06-16 21:00:00, Group F                 , Sant Elia                                         , Cagliari                         , England                      ,               0,               0, Netherlands                  ,      35267,                  0.0,                  0.0, PETROVIC Zoran (SRB)                , HANSAL Mohamed (ALG)                , CODESAL MENDEZ Edgardo (MEX)        ,     433,   10433, ENG               , NED
433, 1990.0, 1990-06-17 17:00:00, Group F                 , Della Favorita                                    , Palermo                          , "rn"">Republic of Ireland"   ,               0,               0, Egypt                        ,      33288,                  0.0,                  0.0, VAN LANGENHOVE Marcel (BEL)         , QUINIOU Joel (FRA)                  , LO BELLO Rosario (ITA)              ,     434,   10434, IRL               , EGY
434, 1990.0, 1990-06-17 21:00:00, Group E                 , Dacia Arena                                       , Udine                            , Korea Republic               ,               1,               3, Spain                        ,      32733,                  1.0,                  1.0, JACOME GUERRERO Elias V. (ECU)      , MAGNI Pierluigi (ITA)               , LOUSTAU Juan (ARG)                  ,     435,   10435, KOR               , ESP
435, 1990.0, 1990-06-17 21:00:00, Group E                 , Marc Antonio Bentegodi                            , Verona                           , Belgium                      ,               3,               1, Uruguay                      ,      33759,                  2.0,                  0.0, KIRSCHEN Siegfried (GER)            , MIKKELSEN Peter (DEN)               , SPIRIN Alexey (RUS)                 ,     436,   10436, BEL               , URU
436, 1990.0, 1990-06-18 21:00:00, Group B                 , San Paolo                                         , Naples                           , Argentina                    ,               1,               1, Romania                      ,      52733,                  0.0,                  0.0, SILVA VALENTE Carlos Alberto (POR)  , ULLOA MORERA Berny (CRC)            , LONGHI Carlo (ITA)                  ,     437,   10437, ARG               , ROU
437, 1990.0, 1990-06-18 21:00:00, Group B                 , Stadio San Nicola                                 , Bari                             , Cameroon                     ,               0,               4, Soviet Union                 ,      37307,                  0.0,                  2.0, RAMIZ WRIGHT Jose (BRA)             , D ELIA Pietro (ITA)                 , ROETHLISBERGER Kurt (SUI)           ,     438,   10438, CMR               , URS
438, 1990.0, 1990-06-19 17:00:00, Group D                 , Giuseppe Meazza                                   , Milan                            , Germany FR                   ,               1,               1, Colombia                     ,      72510,                  0.0,                  0.0, SNODDY Alan (NIR)                   , MANDI Jassim (BHR)                  , LANESE Tullio (ITA)                 ,     439,   10439, FRG               , COL
439, 1990.0, 1990-06-19 17:00:00, Group D                 , Renato Dall Ara                                   , Bologna                          , Yugoslavia                   ,               4,               1, "rn"">United Arab Emirates"  ,      27833,                  2.0,                  1.0, TAKADA Shizuo (JPN)                 , MIKKELSEN Peter (DEN)               , VAUTROT Michel (FRA)                ,     440,   10440, YUG               , UAE
440, 1990.0, 1990-06-19 21:00:00, Group A                 , Stadio Olimpico                                   , Rome                             , Italy                        ,               2,               0, Czechoslovakia               ,      73303,                  1.0,                  0.0, QUINIOU Joel (FRA)                  , VAN LANGENHOVE Marcel (BEL)         , SMITH George (SCO)                  ,     441,   10441, ITA               , TCH
441, 1990.0, 1990-06-19 21:00:00, Group A                 , Comunale                                          , Florence                         , Austria                      ,               2,               1, USA                          ,      34857,                  0.0,                  0.0, AL SHARIF Jamal (SYR)               , LORENC Richard (AUS)                , PETROVIC Zoran (SRB)                ,     442,   10442, AUT               , USA
442, 1990.0, 1990-06-20 21:00:00, Group C                 , Stadio delle Alpi                                 , Turin                            , Brazil                       ,               1,               0, Scotland                     ,      62502,                  0.0,                  0.0, KOHL Helmut (AUT)                   , LISTKIEWICZ Michal (POL)            , KIRSCHEN Siegfried (GER)            ,     443,   10443, BRA               , SCO
443, 1990.0, 1990-06-20 21:00:00, Group C                 , Luigi Ferraris                                    , Genoa                            , Sweden                       ,               1,               2, Costa Rica                   ,      30223,                  1.0,                  0.0, PETROVIC Zoran (SRB)                , SNODDY Alan (NIR)                   , COURTNEY George (ENG)               ,     444,   10444, SWE               , CRC
444, 1990.0, 1990-06-21 17:00:00, Group E                 , Friuli                                            , Udine                            , Korea Republic               ,               0,               1, Uruguay                      ,      29039,                  0.0,                  0.0, LANESE Tullio (ITA)                 , DIRAMBA Jean Fidele (GAB)           , JOUINI Neji (TUN)                   ,     445,   10445, KOR               , URU
445, 1990.0, 1990-06-21 17:00:00, Group E                 , Marc Antonio Bentegodi                            , Verona                           , Belgium                      ,               1,               2, Spain                        ,      35950,                  1.0,                  2.0, LOUSTAU Juan (ARG)                  , MACIEL Carlos (PAR)                 , MAURO Vincent (USA)                 ,     446,   10446, BEL               , ESP
446, 1990.0, 1990-06-21 21:00:00, Group F                 , Della Favorita                                    , Palermo                          , "rn"">Republic of Ireland"   ,               1,               1, Netherlands                  ,      33288,                  0.0,                  1.0, VAUTROT Michel (FRA)                , LORENC Richard (AUS)                , HANSAL Mohamed (ALG)                ,     447,   10447, IRL               , NED
447, 1990.0, 1990-06-21 21:00:00, Group F                 , Sant Elia                                         , Cagliari                         , England                      ,               1,               0, Egypt                        ,      34959,                  0.0,                  0.0, ROETHLISBERGER Kurt (SUI)           , ULLOA MORERA Berny (CRC)            , CODESAL MENDEZ Edgardo (MEX)        ,     448,   10448, ENG               , EGY
448, 1990.0, 1990-06-23 17:00:00, Round of 16             , San Paolo                                         , Naples                           , Cameroon                     ,               2,               1, Colombia                     ,      50026,                  0.0,                  0.0, LANESE Tullio (ITA)                 , AL SHARIF Jamal (SYR)               , ULLOA MORERA Berny (CRC)            ,     449,   10449, CMR               , COL
449, 1990.0, 1990-06-23 21:00:00, Round of 16             , Stadio San Nicola                                 , Bari                             , Czechoslovakia               ,               4,               1, Costa Rica                   ,      47673,                  1.0,                  0.0, KIRSCHEN Siegfried (GER)            , PEREZ HOYOS Armando (COL)           , D ELIA Pietro (ITA)                 ,     450,   10450, TCH               , CRC
450, 1990.0, 1990-06-24 17:00:00, Round of 16             , Stadio delle Alpi                                 , Turin                            , Brazil                       ,               0,               1, Argentina                    ,      61381,                  0.0,                  0.0, QUINIOU Joel (FRA)                  , SPIRIN Alexey (RUS)                 , PAIRETTO Pierluigi (ITA)            ,     451,   10451, BRA               , ARG
451, 1990.0, 1990-06-24 21:00:00, Round of 16             , Giuseppe Meazza                                   , Milan                            , Germany FR                   ,               2,               1, Netherlands                  ,      74559,                  0.0,                  0.0, LOUSTAU Juan (ARG)                  , JACOME GUERRERO Elias V. (ECU)      , MAURO Vincent (USA)                 ,     452,   10452, FRG               , NED
452, 1990.0, 1990-06-25 17:00:00, Round of 16             , Luigi Ferraris                                    , Genoa                            , "rn"">Republic of Ireland"   ,               0,               0, Romania                      ,      31818,                  0.0,                  0.0, RAMIZ WRIGHT Jose (BRA)             , MACIEL Carlos (PAR)                 , MANDI Jassim (BHR)                  ,     453,   10453, IRL               , ROU
453, 1990.0, 1990-06-25 21:00:00, Round of 16             , Stadio Olimpico                                   , Rome                             , Italy                        ,               2,               0, Uruguay                      ,      73303,                  0.0,                  0.0, COURTNEY George (ENG)               , ROETHLISBERGER Kurt (SUI)           , PETROVIC Zoran (SRB)                ,     454,   10454, ITA               , URU
454, 1990.0, 1990-06-26 17:00:00, Round of 16             , Marc Antonio Bentegodi                            , Verona                           , Spain                        ,               1,               2, Yugoslavia                   ,      35500,                  0.0,                  0.0, SCHMIDHUBER Aron (GER)              , SNODDY Alan (NIR)                   , LISTKIEWICZ Michal (POL)            ,     455,   10455, ESP               , YUG
455, 1990.0, 1990-06-26 21:00:00, Round of 16             , Renato Dall Ara                                   , Bologna                          , England                      ,               1,               0, Belgium                      ,      34520,                  0.0,                  0.0, MIKKELSEN Peter (DEN)               , KOHL Helmut (AUT)                   , TAKADA Shizuo (JPN)                 ,     456,   10456, ENG               , BEL
456, 1990.0, 1990-06-30 17:00:00, Quarter-finals          , Comunale                                          , Florence                         , Yugoslavia                   ,               0,               0, Argentina                    ,      38971,                  0.0,                  0.0, ROETHLISBERGER Kurt (SUI)           , JOUINI Neji (TUN)                   , HANSAL Mohamed (ALG)                ,     457,   10457, YUG               , ARG
457, 1990.0, 1990-06-30 21:00:00, Quarter-finals          , Stadio Olimpico                                   , Rome                             , Italy                        ,               1,               0, "rn"">Republic of Ireland"   ,      73303,                  1.0,                  0.0, SILVA VALENTE Carlos Alberto (POR)  , PEREZ HOYOS Armando (COL)           , ULLOA MORERA Berny (CRC)            ,     458,   10458, ITA               , IRL
458, 1990.0, 1990-07-01 17:00:00, Quarter-finals          , Giuseppe Meazza                                   , Milan                            , Germany FR                   ,               1,               0, Czechoslovakia               ,      73347,                  1.0,                  0.0, KOHL Helmut (AUT)                   , MIKKELSEN Peter (DEN)               , LISTKIEWICZ Michal (POL)            ,     459,   10459, FRG               , TCH
459, 1990.0, 1990-07-01 21:00:00, Quarter-finals          , San Paolo                                         , Naples                           , England                      ,               3,               2, Cameroon                     ,      55205,                  0.0,                  0.0, CODESAL MENDEZ Edgardo (MEX)        , MAURO Vincent (USA)                 , MANDI Jassim (BHR)                  ,     460,   10460, ENG               , CMR
460, 1990.0, 1990-07-03 20:00:00, Semi-finals             , San Paolo                                         , Naples                           , Italy                        ,               1,               1, Argentina                    ,      59978,                  0.0,                  0.0, VAUTROT Michel (FRA)                , LISTKIEWICZ Michal (POL)            , MIKKELSEN Peter (DEN)               ,     461,   10461, ITA               , ARG
461, 1990.0, 1990-07-04 20:00:00, Semi-finals             , Stadio delle Alpi                                 , Turin                            , Germany FR                   ,               1,               1, England                      ,      62628,                  0.0,                  0.0, RAMIZ WRIGHT Jose (BRA)             , QUINIOU Joel (FRA)                  , PEREZ HOYOS Armando (COL)           ,     462,   10462, FRG               , ENG
462, 1990.0, 1990-07-07 20:00:00, Match for third place   , Stadio San Nicola                                 , Bari                             , Italy                        ,               2,               1, England                      ,      51426,                  0.0,                  0.0, QUINIOU Joel (FRA)                  , HANSAL Mohamed (ALG)                , ROETHLISBERGER Kurt (SUI)           ,     463,   10463, ITA               , ENG
463, 1990.0, 1990-07-08 20:00:00, Final                   , Stadio Olimpico                                   , Rome                             , Germany FR                   ,               1,               0, Argentina                    ,      73603,                  0.0,                  0.0, CODESAL MENDEZ Edgardo (MEX)        , PEREZ HOYOS Armando (COL)           , LISTKIEWICZ Michal (POL)            ,     464,   10464, FRG               , ARG
464, 1994.0, 1994-06-17 19:30:00, Group C                 , Cotton Bowl                                       , Dallas                           , Spain                        ,               2,               2, Korea Republic               ,      56247,                  0.0,                  0.0, MIKKELSEN Peter (DEN)               , CHRISTENSEN Carl-Johan Meyer (DEN)  , PEARSON Roy (ENG)                   ,     465,   10465, ESP               , KOR
465, 1994.0, 1994-06-17 15:00:00, Group C                 , Soldier Field                                     , Chicago                          , Germany                      ,               1,               0, Bolivia                      ,      63117,                  0.0,                  0.0, BRIZIO CARTER Arturo (MEX)          , BRAZZALE Eugene (AUS)               , DUNSTER Gordon (AUS)                ,     466,   10466, GER               , BOL
466, 1994.0, 1994-06-18 11:30:00, Group A                 , Pontiac Silverdome                                , Detroit                          , USA                          ,               1,               1, Switzerland                  ,      73425,                  1.0,                  1.0, LAMOLINA Francisco Oscar (ARG)      , TAIBI Ernesto (ARG)                 , ZARATE Venancio (PAR)               ,     467,   10467, USA               , SUI
467, 1994.0, 1994-06-18 16:00:00, Group E                 , Giants Stadium                                    , New York/New Jersey              , Italy                        ,               0,               1, "rn"">Republic of Ireland"   ,      75338,                  0.0,                  1.0, VAN DER ENDE Mario (NED)            , DOLSTRA Jan (NED)                   , PARK Hae-Yong (KOR)                 ,     468,   10468, ITA               , IRL
